Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
2.245e-07,47.656254464,-0.7812485120000012,44.062494720000004,-28.125001728,18432
2.2500000000000002e-07,47.656254464,-0.7812485120000012,40.937494528,-26.562501632,16384
2.255e-07,49.218754559999994,-1.5624985600000016,37.812494336,-23.43750144,16384
2.26e-07,50.000004608,-0.7812485120000012,37.812494336,-21.875001343999998,16384
2.2650000000000002e-07,50.781254656,-0.7812485120000012,34.687494144,-21.875001343999998,16384
2.27e-07,50.781254656,-1.5624985600000016,31.562493951999997,-17.187501056,16384
2.2750000000000002e-07,50.781254656,-2.343748608000002,31.562493951999997,-14.062500864,16384
2.28e-07,50.781254656,-2.343748608000002,29.999993856000003,-10.937500671999999,16384
2.2850000000000001e-07,50.781254656,-1.5624985600000016,23.749993472,-10.937500671999999,16384
2.2900000000000003e-07,52.343754751999995,-2.343748608000002,22.187493376000006,-7.81250048,16384
2.295e-07,52.343754751999995,-0.7812485120000012,19.062493184000004,-6.250000384,16384
2.3000000000000002e-07,53.1250048,-0.7812485120000012,19.062493184000004,-4.687500288,16384
2.305e-07,53.1250048,-0.7812485120000012,14.374992896000009,-3.125000192,16384
2.3100000000000002e-07,53.906254848,1.5359999991915174e-06,11.249992704000007,0.0,16384
2.315e-07,55.468754944,-1.5624985600000016,9.687492608,4.687500288,16384
2.32e-07,53.906254848,-1.5624985600000016,6.562492415999998,6.250000384,16384
2.3250000000000002e-07,54.68750489599999,-1.5624985600000016,4.999992320000004,7.81250048,16384
2.33e-07,53.1250048,-1.5624985600000016,3.4374922240000103,9.375000576,16384
2.3350000000000002e-07,54.68750489599999,-2.343748608000002,0.3124920319999944,12.500000768,16384
2.34e-07,55.468754944,-0.7812485120000012,0.3124920319999944,14.062500864,16384
2.3450000000000002e-07,55.468754944,-1.5624985600000016,-2.812508159999993,17.187501056,16384
2.3500000000000003e-07,56.250004992,-0.7812485120000012,-5.937508352000009,17.187501056,16384
2.355e-07,54.68750489599999,-1.5624985600000016,-7.5000084479999884,20.312501248,16384
2.3600000000000002e-07,53.906254848,-2.343748608000002,-9.062508543999996,23.43750144,16384
2.365e-07,53.906254848,-0.7812485120000012,-12.187508735999984,23.43750144,16384
2.3700000000000002e-07,54.68750489599999,-0.7812485120000012,-13.750008831999992,25.000001536,16384
2.375e-07,54.68750489599999,-0.7812485120000012,-16.875009024000008,26.562501632,16384
2.3800000000000001e-07,53.906254848,-1.5624985600000016,-15.312508928,26.562501632,16384
2.385e-07,53.1250048,-2.343748608000002,-21.562509312000003,28.125001728,16384
2.39e-07,52.343754751999995,-1.5624985600000016,-21.562509312000003,29.687501823999998,16384
2.395e-07,53.1250048,-1.5624985600000016,-21.562509312000003,31.25000192,16384
2.4000000000000003e-07,51.56250470399999,-1.5624985600000016,-21.562509312000003,31.25000192,16384
2.405e-07,51.56250470399999,-0.7812485120000012,-24.68750950399999,31.25000192,16384
2.41e-07,50.781254656,-0.7812485120000012,-26.2500096,34.375002112,16384
2.4150000000000004e-07,50.000004608,-2.343748608000002,-27.812509696000006,35.937502208,16384
2.42e-07,50.000004608,-1.5624985600000016,-26.2500096,35.937502208,16384
2.425e-07,50.000004608,-1.5624985600000016,-29.375009791999986,35.937502208,16384
2.43e-07,48.437504512000004,-1.5624985600000016,-30.937509887999994,35.937502208,16384
2.4350000000000003e-07,46.09375436799999,-1.5624985600000016,-32.500009984,37.500002304,16384
2.44e-07,46.09375436799999,-1.5624985600000016,-30.937509887999994,39.0625024,16384
2.445e-07,44.531254272,-0.7812485120000012,-30.937509887999994,37.500002304,16384
2.4500000000000004e-07,44.531254272,1.5359999991915174e-06,-32.500009984,39.0625024,16384
2.455e-07,43.750004223999994,2.3437516800000004,-32.500009984,39.0625024,16384
2.46e-07,41.40625408,4.687501823999998,-30.937509887999994,39.0625024,0
2.465e-07,40.62500403199999,6.250001919999999,-34.06251007999998,37.500002304,0
2.4700000000000003e-07,39.062503936,7.812502015999996,-34.06251007999998,39.0625024,0
2.475e-07,39.062503936,7.812502015999996,-34.06251007999998,37.500002304,0
2.48e-07,36.718753792,10.156252160000001,-34.06251007999998,35.937502208,0
2.4850000000000003e-07,35.937503744,13.281252351999996,-32.500009984,35.937502208,0
2.49e-07,34.375003647999996,14.843752447999996,-34.06251007999998,37.500002304,0
2.495e-07,32.812503551999995,17.187502592,-32.500009984,37.500002304,256
2.5000000000000004e-07,31.250003456,20.312502783999996,-29.375009791999986,37.500002304,256
2.505e-07,30.468753407999998,21.875002879999997,-30.937509887999994,37.500002304,256
2.51e-07,29.68750336,22.656252928,-32.500009984,37.500002304,256
2.515e-07,27.343753215999996,22.656252928,-30.937509887999994,37.500002304,768
2.5200000000000003e-07,25.781253119999995,23.437502975999998,-27.812509696000006,39.0625024,768
2.525e-07,24.218753024,26.562503168,-27.812509696000006,37.500002304,768
2.53e-07,23.437502975999998,29.68750336,-26.2500096,37.500002304,768
2.5350000000000004e-07,21.093752832,33.5937536,-27.812509696000006,35.937502208,768
2.54e-07,20.312502783999996,34.375003647999996,-21.562509312000003,35.937502208,768
2.545e-07,18.750002687999995,35.156253696,-23.125009407999983,35.937502208,768
2.55e-07,17.187502592,35.937503744,-21.562509312000003,35.937502208,768
2.5550000000000003e-07,17.187502592,36.718753792,-20.000009215999995,34.375002112,768
2.56e-07,14.0625024,39.062503936,-18.437509119999987,37.500002304,768
2.565e-07,13.281252351999996,41.40625408,-15.312508928,35.937502208,768
2.5700000000000004e-07,10.937502207999998,41.40625408,-13.750008831999992,35.937502208,768
2.575e-07,9.375002111999997,42.187504128,-13.750008831999992,34.375002112,768
2.58e-07,9.375002111999997,45.31250432,-9.062508543999996,34.375002112,768
2.585e-07,8.593752064,46.875004415999996,-7.5000084479999884,34.375002112,768
2.5900000000000003e-07,7.031251967999999,47.656254464,-5.937508352000009,34.375002112,768
2.595e-07,6.250001919999999,46.875004415999996,-4.375008256000001,34.375002112,768
2.6e-07,5.468751871999999,46.875004415999996,-1.250008063999985,35.937502208,768
2.6050000000000004e-07,3.9062517759999977,46.875004415999996,0.3124920319999944,32.812502015999996,768
2.61e-07,3.9062517759999977,49.218754559999994,3.4374922240000103,34.375002112,768
2.615e-07,2.3437516800000004,51.56250470399999,3.4374922240000103,35.937502208,768
2.62e-07,0.7812515839999996,52.343754751999995,9.687492608,34.375002112,768
2.6250000000000003e-07,-0.7812485120000012,51.56250470399999,9.687492608,32.812502015999996,768
2.63e-07,-0.7812485120000012,51.56250470399999,11.249992704000007,35.937502208,768
2.635e-07,-0.7812485120000012,51.56250470399999,12.812492800000001,34.375002112,768
2.6400000000000003e-07,-1.5624985600000016,51.56250470399999,15.937492992000003,35.937502208,768
2.645e-07,-1.5624985600000016,52.343754751999995,19.062493184000004,34.375002112,768
2.65e-07,-2.343748608000002,52.343754751999995,22.187493376000006,35.937502208,768
2.6550000000000004e-07,-2.343748608000002,53.1250048,23.749993472,35.937502208,768
2.66e-07,-2.343748608000002,54.68750489599999,26.874993664,34.375002112,768
2.665e-07,-2.343748608000002,53.906254848,29.999993856000003,34.375002112,768
2.67e-07,-2.343748608000002,54.68750489599999,29.999993856000003,35.937502208,768
2.6750000000000003e-07,-2.343748608000002,53.1250048,33.124994048000005,37.500002304,768
2.68e-07,-1.5624985600000016,50.781254656,36.24999424000001,37.500002304,768
2.685e-07,-1.5624985600000016,50.781254656,39.37499443200001,32.812502015999996,768
2.6900000000000004e-07,-1.5624985600000016,51.56250470399999,39.37499443200001,35.937502208,768
2.695e-07,-1.5624985600000016,53.906254848,42.49999462400001,34.375002112,768
2.7e-07,-1.5624985600000016,54.68750489599999,48.749995008,35.937502208,768
2.705e-07,-1.5624985600000016,53.1250048,47.187494912000005,32.812502015999996,768
2.7100000000000003e-07,-0.7812485120000012,51.56250470399999,50.31249510400001,32.812502015999996,768
