Time (s),V_DSA-V_DSB
2.0850000000000002e-07,-0.1562500096
2.09e-07,-0.3125000192
2.0950000000000002e-07,-0.1562500096
2.1e-07,-0.1562500096
2.105e-07,-0.3125000192
2.1100000000000002e-07,-0.46875002879999994
2.115e-07,-0.1562500096
2.1200000000000002e-07,-0.3125000192
2.125e-07,0.0
2.1300000000000001e-07,-0.1562500096
2.1350000000000003e-07,-0.1562500096
2.14e-07,-0.1562500096
2.1450000000000002e-07,-0.1562500096
2.15e-07,-0.1562500096
2.1550000000000002e-07,-0.1562500096
2.16e-07,-0.1562500096
2.165e-07,-0.1562500096
2.1700000000000002e-07,-0.46875002879999994
2.175e-07,-0.3125000192
2.1800000000000002e-07,0.0
2.185e-07,-0.1562500096
2.1900000000000002e-07,-0.1562500096
2.1950000000000003e-07,-0.1562500096
2.2e-07,-0.1562500096
2.2050000000000002e-07,-0.1562500096
2.21e-07,-0.1562500096
2.2150000000000002e-07,-0.1562500096
2.22e-07,-0.1562500096
2.2250000000000001e-07,-0.1562500096
2.2300000000000002e-07,-0.1562500096
2.235e-07,-0.1562500096
2.2400000000000002e-07,-0.1562500096
2.245e-07,-0.1562500096
2.2500000000000002e-07,-0.3125000192
2.255e-07,-0.1562500096
2.26e-07,-0.1562500096
2.2650000000000002e-07,-0.1562500096
2.27e-07,-0.3125000192
2.2750000000000002e-07,-0.1562500096
2.28e-07,-0.1562500096
2.2850000000000001e-07,-0.3125000192
2.2900000000000003e-07,-0.1562500096
2.295e-07,-0.3125000192
2.3000000000000002e-07,-0.1562500096
2.305e-07,-0.1562500096
2.3100000000000002e-07,-0.1562500096
2.315e-07,-0.1562500096
2.32e-07,-0.1562500096
2.3250000000000002e-07,-0.3125000192
2.33e-07,-0.46875002879999994
2.3350000000000002e-07,-0.3125000192
2.34e-07,-0.1562500096
2.3450000000000002e-07,-0.1562500096
2.3500000000000003e-07,-0.3125000192
2.355e-07,-0.3125000192
2.3600000000000002e-07,-0.1562500096
2.365e-07,-0.1562500096
2.3700000000000002e-07,-0.3125000192
2.375e-07,-0.1562500096
2.3800000000000001e-07,-0.1562500096
2.385e-07,-0.1562500096
2.39e-07,-0.1562500096
2.395e-07,-0.1562500096
2.4000000000000003e-07,-0.1562500096
2.405e-07,-0.1562500096
2.41e-07,-0.3125000192
2.4150000000000004e-07,-0.1562500096
2.42e-07,0.0
2.425e-07,0.0
2.43e-07,-0.1562500096
2.4350000000000003e-07,0.0
2.44e-07,-0.3125000192
2.445e-07,-0.1562500096
2.4500000000000004e-07,-0.3125000192
2.455e-07,-0.1562500096
2.46e-07,-0.1562500096
2.465e-07,-0.1562500096
2.4700000000000003e-07,-0.1562500096
2.475e-07,-0.1562500096
2.48e-07,-0.1562500096
2.4850000000000003e-07,-0.3125000192
2.49e-07,-0.46875002879999994
2.495e-07,-0.3125000192
2.5000000000000004e-07,-0.1562500096
2.505e-07,0.0
2.51e-07,-0.1562500096
2.515e-07,-0.1562500096
2.5200000000000003e-07,-0.1562500096
2.525e-07,-0.1562500096
2.53e-07,-0.1562500096
2.5350000000000004e-07,-0.3125000192
2.54e-07,-0.1562500096
2.545e-07,0.0
2.55e-07,-0.1562500096
2.5550000000000003e-07,-0.1562500096
2.56e-07,0.0
2.565e-07,-0.1562500096
2.5700000000000004e-07,-0.3125000192
2.575e-07,-0.3125000192
2.58e-07,-0.3125000192
2.585e-07,-0.1562500096
2.5900000000000003e-07,-0.1562500096
2.595e-07,-0.1562500096
2.6e-07,-0.3125000192
2.6050000000000004e-07,0.0
2.61e-07,-0.3125000192
2.615e-07,-0.1562500096
2.62e-07,-0.1562500096
2.6250000000000003e-07,-0.1562500096
2.63e-07,-0.1562500096
2.635e-07,-0.1562500096
2.6400000000000003e-07,-0.1562500096
2.645e-07,-0.1562500096
2.65e-07,-0.46875002879999994
2.6550000000000004e-07,-0.3125000192
2.66e-07,-0.1562500096
2.665e-07,-0.1562500096
2.67e-07,-0.1562500096
2.6750000000000003e-07,-0.1562500096
2.68e-07,-0.1562500096
2.685e-07,0.0
2.6900000000000004e-07,-0.1562500096
2.695e-07,-0.3125000192
2.7e-07,-0.1562500096
2.705e-07,-0.1562500096
2.7100000000000003e-07,-0.3125000192
2.715e-07,-0.3125000192
2.72e-07,-0.1562500096
2.7250000000000004e-07,-0.1562500096
2.73e-07,-0.1562500096
2.735e-07,-0.1562500096
2.74e-07,-0.1562500096
2.7450000000000003e-07,-0.1562500096
2.75e-07,-0.3125000192
2.755e-07,-0.1562500096
2.7600000000000004e-07,-0.1562500096
2.765e-07,-0.1562500096
2.77e-07,-0.1562500096
2.7750000000000004e-07,-0.1562500096
2.7800000000000003e-07,0.0
2.785e-07,-0.3125000192
2.79e-07,-0.3125000192
