Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
1421319.79695431,-89.7523345947266,-100.80549621582,,1421319.79695431,-89.195068359375,-100.093200683594,,1421319.79695431,7.08704185905952E-06,2.35150283307976E-06,,1421319.79695431,17.3786618353524,3.15332003847738,,
1472081.21827411,-90.0595092773438,-103.557373046875,,1472081.21827411,-90.4719390869141,-101.103271484375,,1472081.21827411,6.49152352755048E-06,1.42546260063892E-06,,1472081.21827411,17.2628781439461,5.44165011660238,,
1522842.63959391,-89.6479034423828,-100.302825927734,,1522842.63959391,-91.2342681884766,-105.202987670898,,1522842.63959391,6.92378321610309E-06,1.39798482826769E-06,,1522842.63959391,16.6065365912118,4.99241610781331,,
1573604.06091371,-88.8521347045898,-101.586639404297,,1573604.06091371,-90.8616256713867,-100.577987670898,,1573604.06091371,6.51287239600591E-06,1.77852460186815E-06,,1573604.06091371,17.2538830877938,5.51238986269613,,
1624365.4822335,-90.1807022094727,-103.661582946777,,1624365.4822335,-89.7266616821289,-100.84937286377,,1624365.4822335,6.18211270965198E-06,1.77396883314727E-06,,1624365.4822335,16.5838849188485,5.75636264101644,,
1675126.9035533,-90.1920776367188,-102.782989501953,,1675126.9035533,-88.7865829467773,-102.99169921875,,1675126.9035533,6.60661625791862E-06,1.80930702580873E-06,,1675126.9035533,16.0049740912118,3.72936221377034,,
1725888.3248731,-90.7842407226563,-102.995544433594,,1725888.3248731,-90.6302032470703,-102.382301330566,,1725888.3248731,5.52926462353708E-06,1.56160321890621E-06,,1725888.3248731,15.3089062811532,3.15793582216878,,
1776649.74619289,-90.9445343017578,-102.550025939941,,1776649.74619289,-91.712890625,-102.658782958984,,1776649.74619289,5.73630539598296E-06,1.17927634427315E-06,,1776649.74619289,14.6022717596688,1.53246279970784,,
1827411.16751269,-90.4321594238281,-103.322525024414,,1827411.16751269,-90.7142333984375,-103.676330566406,,1827411.16751269,5.95150122652916E-06,1.55117517061997E-06,,1827411.16751269,16.0011593939461,4.88963290468831,,
1878172.58883249,-91.4019317626953,-101.627258300781,,1878172.58883249,-92.2465972900391,-102.54759979248,,1878172.58883249,6.26715302220473E-06,1.07825553579462E-06,,1878172.58883249,15.9177319647469,4.16260501162191,,
