Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
3.1700000000000005e-07,-1.5624985600000016,50.000004608,-43.437510656,-37.500002304,8192
3.1750000000000003e-07,-1.5624985600000016,49.218754559999994,-43.437510656,-35.937502208,8192
3.18e-07,-0.7812485120000012,48.437504512000004,-41.87501055999999,-40.625002496,8192
3.185e-07,-1.5624985600000016,46.875004415999996,-43.437510656,-40.625002496,8192
3.1900000000000004e-07,1.5359999991915174e-06,45.31250432,-45.00001075199998,-40.625002496,8192
3.195e-07,0.7812515839999996,44.531254272,-45.00001075199998,-43.750002687999995,8192
3.2e-07,3.9062517759999977,42.968754176000004,-43.437510656,-43.750002687999995,0
3.2050000000000004e-07,7.031251967999999,42.187504128,-43.437510656,-45.312502783999996,0
3.2100000000000003e-07,10.156252160000001,40.62500403199999,-45.00001075199998,-45.312502783999996,0
3.215e-07,14.0625024,38.281253887999995,-43.437510656,-45.312502783999996,0
3.22e-07,16.406252543999997,36.718753792,-43.437510656,-46.87500288,0
3.2250000000000004e-07,15.625002496,35.937503744,-43.437510656,-46.87500288,1024
3.23e-07,14.0625024,33.5937536,-41.87501055999999,-48.437502976,1024
3.235e-07,15.625002496,34.375003647999996,-41.87501055999999,-50.000003072,1024
3.2400000000000004e-07,21.093752832,31.250003456,-38.750010368000005,-53.125003264,1024
3.2450000000000003e-07,28.125003264,28.906253311999997,-38.750010368000005,-51.562503168,1024
3.25e-07,33.5937536,28.125003264,-38.750010368000005,-53.125003264,3072
3.255e-07,32.812503551999995,25.781253119999995,-37.187510272,-54.68750336,3072
3.2600000000000003e-07,28.906253311999997,24.218753024,-35.62501017599999,-56.250003456,3072
3.265e-07,25.000003072,22.656252928,-35.62501017599999,-54.68750336,3072
3.27e-07,28.906253311999997,21.093752832,-32.500009984,-56.250003456,3072
3.2750000000000004e-07,37.50000384,20.312502783999996,-34.06251007999998,-57.812503551999995,3072
3.28e-07,45.31250432,17.968752639999998,-27.812509696000006,-57.812503551999995,3072
3.285e-07,47.656254464,17.187502592,-27.812509696000006,-57.812503551999995,3072
3.29e-07,42.187504128,14.843752447999996,-26.2500096,-59.375003647999996,3072
