Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
1.8100000000000002e-07,0.8281251583999998,-0.031249894400000144,33.750000639999996,21.25000192,3072
1.815e-07,1.1406251775999996,0.04687511039999981,39.375000064,19.375002111999997,3072
1.8200000000000002e-07,0.9062501631999997,0.04687511039999981,40.0,18.750002176,3072
1.825e-07,0.4375001344,-0.18749990400000005,35.625000448,17.500002304,3072
1.83e-07,0.04687511039999981,-0.3437499136000002,31.875000831999998,15.625002496,3072
1.8350000000000002e-07,-0.031249894400000144,-0.18749990400000005,35.000000512,13.750002687999999,3072
1.84e-07,0.12500011519999976,-0.18749990400000005,41.249999872000004,13.750002687999999,3072
1.8450000000000002e-07,0.20312511999999994,-0.031249894400000144,44.374999552,12.500002815999999,3072
1.85e-07,0.04687511039999981,-0.1093748992000001,43.749999616,10.000003071999998,3072
1.8550000000000001e-07,-0.6562499328,-0.1093748992000001,41.874999808,8.750003199999998,3072
1.8600000000000002e-07,-1.0468749568,-0.2656249088,41.874999808,7.500003327999998,3072
1.865e-07,-0.8124999424000001,-0.3437499136000002,45.624999424,6.875003391999996,3072
1.8700000000000002e-07,-0.42187491840000013,-0.2656249088,48.749999104,7.500003327999998,3072
1.875e-07,-0.1093748992000001,-0.1093748992000001,48.749999104,5.000003583999998,3072
1.8800000000000002e-07,-0.2656249088,-0.18749990400000005,45.624999424,3.125003776,3072
1.885e-07,-0.578124928,-0.2656249088,42.499999744,2.500003839999998,3072
1.89e-07,-0.4999999232000001,-0.3437499136000002,45.624999424,2.500003839999998,3072
1.8950000000000002e-07,-0.18749990400000005,-0.3437499136000002,50.624998912,1.8750039039999962,3072
1.9e-07,0.04687511039999981,-0.2656249088,53.124998656,1.2500039680000015,3072
1.9050000000000002e-07,0.12500011519999976,-0.3437499136000002,51.874998784,4.0959999978440464e-06,3072
1.91e-07,-0.1093748992000001,-0.2656249088,47.499999232,-1.2499957760000058,3072
1.9150000000000001e-07,-0.2656249088,-0.3437499136000002,44.999999488,-1.2499957760000058,3072
1.9200000000000003e-07,-0.18749990400000005,-0.2656249088,47.499999232,-1.8749957120000005,3072
1.925e-07,0.20312511999999994,-0.2656249088,51.249998848000004,-2.4999956480000023,3072
1.9300000000000002e-07,0.28125012479999967,-0.18749990400000005,50.624998912,-3.749995519999999,3072
1.935e-07,-0.031249894400000144,-0.18749990400000005,49.37499904,-3.749995519999999,3072
1.9400000000000002e-07,-0.3437499136000002,-0.18749990400000005,48.124999168,-4.374995456000001,3072
1.945e-07,-0.3437499136000002,-0.2656249088,48.749999104,-3.749995519999999,3072
1.95e-07,-0.18749990400000005,-0.18749990400000005,49.999998976,-3.749995519999999,3072
1.9550000000000002e-07,0.04687511039999981,-0.1093748992000001,49.37499904,-4.374995456000001,3072
1.96e-07,-0.031249894400000144,-0.1093748992000001,48.749999104,-4.374995456000001,3072
1.9650000000000002e-07,-0.2656249088,-0.1093748992000001,44.999999488,-3.749995519999999,3072
